SupplierName,SupplierTransactionID,SupplierID,PurchaseOrderID,SupplierInvoiceNumber,TransactionDate,AmountExcludingTax,TaxAmount,FinalizationDate
"Contoso, Ltd.",134,2,1,7290,1/2/2013,313.5,47.03,1/7/2013
"Fabrikam, Inc.",169,4,2,3898,1/2/2013,21732,3259.8,1/7/2013
Graphic Design Institute,186,5,3,616,1/2/2013,2740.5,411.11,1/7/2013
"Litware, Inc.",215,7,4,3869,1/2/2013,42481.2,6372.19,1/7/2013
Northwind Electric Cars,224,10,5,4697,1/2/2013,35067.5,5260.14,1/7/2013
The Phone Company,230,12,6,1375,1/2/2013,5528.5,829.28,1/7/2013
"Fabrikam, Inc.",565,4,7,3261,1/3/2013,10000.5,1500.08,1/7/2013
Graphic Design Institute,570,5,8,1762,1/3/2013,657,98.56,1/7/2013
"Litware, Inc.",588,7,9,9301,1/3/2013,9281.5,1392.24,1/7/2013
Northwind Electric Cars,590,10,10,1853,1/3/2013,1037.5,155.63,1/7/2013
The Phone Company,594,12,11,8170,1/3/2013,19869.5,2980.43,1/7/2013
"Fabrikam, Inc.",932,4,12,5075,1/4/2013,6661.5,999.23,1/7/2013
Graphic Design Institute,935,5,13,134,1/4/2013,261,39.15,1/7/2013
"Litware, Inc.",952,7,14,999,1/4/2013,16279.45,2441.92,1/7/2013
Northwind Electric Cars,955,10,15,4943,1/4/2013,13325,1998.75,1/7/2013
The Phone Company,959,12,16,9907,1/4/2013,3768,565.2,1/7/2013
"Fabrikam, Inc.",1390,4,17,4291,1/7/2013,8808,1321.2,1/7/2013
Graphic Design Institute,1393,5,18,205,1/7/2013,288,43.21,1/7/2013
"Litware, Inc.",1400,7,19,7476,1/7/2013,5230.2,784.53,1/7/2013
Northwind Electric Cars,1402,10,20,364,1/7/2013,7250,1087.5,1/7/2013
"Fabrikam, Inc.",1408,4,21,252,1/7/2013,5116,767.4,1/7/2013
Graphic Design Institute,1410,5,22,9981,1/7/2013,157.5,23.63,1/7/2013
"Litware, Inc.",1417,7,23,9410,1/7/2013,3639.55,545.93,1/7/2013
Northwind Electric Cars,1419,10,24,951,1/7/2013,1245,186.75,1/7/2013
The Phone Company,1422,12,25,4585,1/7/2013,19278,2891.7,1/7/2013
